room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,instant_bookable,review_scores_rating,bedrooms,beds,log_price,,,
Entire home/apt,2,1,moderate,0,f,100,1,2,4.17438727,,,
Entire home/apt,8,2,moderate,1,t,100,3,3,7.170119543,,,
Private room,2,1,flexible,0,f,98,1,2,4.317488114,,,
Private room,1,1,flexible,0,f,100,1,1,3.912023005,,,
Private room,2,1,moderate,1,f,95,1,1,5.293304825,,,
Private room,2,1,strict,1,f,100,1,1,4.976733742,,,
Private room,2,1,strict,0,f,90,1,1,4.219507705,,,
Private room,2,1,flexible,0,t,100,1,1,4.48863637,,,
Private room,2,1,strict,1,f,100,1,1,4.454347296,,,
Entire home/apt,4,2,strict,1,f,100,2,3,5.700443573,,,
Entire home/apt,6,2,strict,1,f,100,3,4,5.521460918,,,
Entire home/apt,8,2.5,moderate,1,f,100,3,3,5.521460918,,,
Entire home/apt,6,2,flexible,1,f,100,2,2,5.164785974,,,
Private room,2,1,strict,0,t,96,1,1,4.356708827,,,
Shared room,1,1,moderate,1,t,100,1,1,3.80666249,,,
Private room,1,1,flexible,1,f,100,1,1,4.248495242,,,
Private room,1,1,flexible,1,f,20,1,1,4.17438727,,,
Entire home/apt,4,1,flexible,1,f,100,0,2,5.003946306,,,
Entire home/apt,2,1,flexible,0,t,96,1,1,6.6147256,,,
Entire home/apt,3,1,strict,1,f,91,1,1,4.59511985,,,
Private room,2,1,strict,1,f,99,1,1,4.787491743,,,
Entire home/apt,2,1,flexible,1,f,100,1,1,4.941642423,,,
Entire home/apt,2,1,moderate,0,f,90,1,2,4.787491743,,,
Private room,2,1,moderate,1,t,94,1,1,4.49980967,,,
Private room,2,1,flexible,1,f,96,1,1,4.49980967,,,
Entire home/apt,6,2,moderate,1,t,100,2,2,5.501258211,,,
Entire home/apt,3,1,strict,1,f,100,1,2,4.430816799,,,
Entire home/apt,2,1,moderate,1,f,98,1,1,4.59511985,,,
Entire home/apt,7,2,strict,1,t,93,2,4,5.416100402,,,
Private room,2,1,strict,1,f,95,1,1,4.905274778,,,
Entire home/apt,2,1,flexible,0,f,100,0,1,4.49980967,,,
Entire home/apt,2,1,flexible,1,t,90,0,1,4.553876892,,,
Entire home/apt,3,1,flexible,0,t,96,1,1,5.545177444,,,
Private room,2,1,strict,1,f,90,1,1,3.912023005,,,
Entire home/apt,5,1,strict,0,f,100,2,2,6.052089169,,,
Private room,2,1,moderate,0,f,89,1,1,3.891820298,,,
Private room,2,1,moderate,1,f,99,1,1,4.418840608,,,
Private room,2,1,flexible,1,f,94,1,1,4.234106505,,,
Private room,5,1,flexible,0,f,97,2,3,4.744932128,,,
Entire home/apt,2,1,strict,0,t,80,1,1,5.164785974,,,
Private room,2,1,moderate,0,f,93,1,1,3.988984047,,,
Entire home/apt,2,1,moderate,1,f,85,1,1,4.691347882,,,
Entire home/apt,3,1,moderate,0,f,96,1,1,5.298317367,,,
Private room,2,0,strict,1,f,83,1,1,4.248495242,,,
Private room,2,1,moderate,1,f,80,1,1,4.17438727,,,
Entire home/apt,2,1,flexible,1,f,100,1,1,5.030437921,,,
Entire home/apt,6,2.5,strict,1,f,98,3,3,6.214608098,,,
Entire home/apt,10,2.5,strict,1,t,100,3,6,5.521460918,,,
Entire home/apt,2,1,moderate,1,f,100,1,2,4.844187086,,,
Entire home/apt,4,1,moderate,1,f,97,1,2,5.164785974,,,
Entire home/apt,6,1,strict,1,f,100,2,2,5.010635294,,,
Entire home/apt,4,1,strict,1,f,100,0,3,3.737669618,,,
Entire home/apt,4,1,strict,1,t,96,2,2,4.828313737,,,
Entire home/apt,5,2,strict,1,f,96,2,2,5.220355825,,,
Entire home/apt,2,1,flexible,0,f,96,1,1,4.317488114,,,
Private room,4,2,strict,0,f,20,5,13,5.703782475,,,
Private room,2,1,strict,1,f,94,1,1,4.17438727,,,
Entire home/apt,2,1,strict,1,f,97,1,1,5.459585514,,,
Private room,1,1.5,flexible,0,f,96,1,1,5.298317367,,,
Private room,2,1,flexible,0,f,100,1,1,4.317488114,,,
Private room,2,1,moderate,1,t,77,1,1,3.63758616,,,
Private room,2,1,flexible,1,f,96,1,1,5.298317367,,,
Private room,1,1,flexible,0,t,96,1,1,4.025351691,,,
Entire home/apt,4,1,strict,1,f,99,2,2,5.857933154,,,
Entire home/apt,2,1,strict,1,f,85,0,1,4.59511985,,,
Private room,2,1,flexible,0,f,96,1,1,4.430816799,,,
Entire home/apt,6,1,strict,1,t,91,0,3,5.438079309,,,
Private room,4,1,strict,1,f,95,1,1,3.784189634,,,
Entire home/apt,3,1,moderate,1,f,100,1,1,5.272999559,,,
Private room,2,1,flexible,1,t,89,1,1,3.784189634,,,
Private room,3,1,flexible,1,f,96,1,2,4.317488114,,,
Entire home/apt,1,1,moderate,1,f,93,0,1,4.700480366,,,
Entire home/apt,5,1.5,strict,0,f,98,2,5,5.416100402,,,
Private room,2,1,strict,1,f,92,1,1,3.80666249,,,
Private room,2,1,moderate,1,f,89,1,1,4.304065093,,,
Entire home/apt,2,1,moderate,1,f,100,1,1,4.905274778,,,
Private room,2,1,strict,1,f,85,1,1,3.63758616,,,
Private room,2,1.5,strict,1,t,89,1,1,5.416100402,,,
Private room,2,1,strict,1,f,92,1,1,4.094344562,,,
Entire home/apt,4,1,strict,1,t,96,1,1,5.010635294,,,
Private room,1,1,flexible,1,f,95,1,1,3.526360525,,,
Private room,2,1,strict,1,f,97,1,1,4.094344562,,,
Entire home/apt,4,1,strict,1,t,84,2,2,5.517452896,,,
Entire home/apt,2,1,moderate,1,f,97,0,1,5.272999559,,,
Entire home/apt,5,2,moderate,1,f,100,2,3,5.634789603,,,
Entire home/apt,5,1,strict,1,f,96,2,2,5.318119994,,,
Private room,2,1.5,flexible,0,t,94,1,1,4.65396035,,,
Entire home/apt,15,1.5,moderate,1,f,98,4,8,5.298317367,,,
Entire home/apt,6,2,strict,1,f,100,2,3,5.521460918,,,
Entire home/apt,3,1,strict,1,t,94,2,2,4.510859507,,,
Entire home/apt,2,1,moderate,1,f,100,0,1,4.828313737,,,
Private room,4,1,strict,1,f,97,2,2,4.605170186,,,
Entire home/apt,4,1,moderate,1,f,88,1,2,5.669880923,,,
Entire home/apt,3,1,strict,1,t,97,1,1,5.521460918,,,
Private room,2,1,flexible,1,f,96,1,1,3.80666249,,,
Private room,1,1.5,strict,1,f,99,1,1,3.63758616,,,
Private room,2,2,strict,1,f,95,1,1,3.891820298,,,
Private room,1,1,strict,1,f,100,1,1,4.454347296,,,
Private room,2,1.5,moderate,0,f,60,1,1,3.555348061,,,
Entire home/apt,4,3,strict,1,t,97,2,2,5.988961417,,,
Entire home/apt,3,1,strict,1,f,80,1,2,4.700480366,,,
Shared room,3,1,flexible,0,f,96,1,3,5.204006687,,,
Private room,3,1,flexible,1,t,100,1,2,4.812184355,,,
Private room,1,1,strict,1,f,93,1,1,3.63758616,,,
Private room,4,1,moderate,1,t,87,2,2,4.59511985,,,
Private room,2,1,moderate,1,t,100,1,1,4.276666119,,,
Entire home/apt,4,1,moderate,1,f,97,2,2,4.96284463,,,
Private room,1,1,strict,1,f,80,1,1,3.891820298,,,
Entire home/apt,2,1,flexible,0,f,96,0,1,5.991464547,,,
Entire home/apt,10,2.5,moderate,1,t,60,5,6,5.541263545,,,
Entire home/apt,6,2,moderate,0,f,100,2,3,5.857933154,,,
Private room,2,1,flexible,0,t,96,1,1,3.688879454,,,
Entire home/apt,4,1,strict,1,t,95,1,3,5.521460918,,,
Entire home/apt,6,2,strict,1,f,97,2,3,5.272999559,,,
Private room,6,1,moderate,1,f,80,1,3,4.828313737,,,
Entire home/apt,3,1,strict,1,f,96,1,1,4.905274778,,,
Entire home/apt,3,2,moderate,1,f,100,3,4,5.521460918,,,
Entire home/apt,8,2,strict,1,f,96,3,3,5.564520407,,,
Private room,2,1,strict,1,f,93,1,1,4.700480366,,,
Entire home/apt,2,1,flexible,1,f,80,1,1,4.382026635,,,
Private room,4,1,flexible,1,f,90,1,2,5.010635294,,,
Private room,2,1,flexible,0,f,96,1,1,4.828313737,,,
Private room,2,1,moderate,1,f,100,1,1,4.49980967,,,
Entire home/apt,2,1,strict,1,f,93,1,1,4.787491743,,,
Private room,1,1,flexible,0,f,96,1,1,4.094344562,,,
Private room,2,1,flexible,0,t,100,1,1,4.700480366,,,
Entire home/apt,2,1,strict,1,f,92,2,2,4.59511985,,,
Private room,2,1,flexible,0,f,96,1,1,4.65396035,,,
Entire home/apt,2,1,strict,1,f,100,2,2,4.605170186,,,
Private room,1,1,strict,1,f,96,1,1,4.49980967,,,
Entire home/apt,4,1,flexible,1,f,100,1,2,4.304065093,,,
Entire home/apt,3,1,moderate,1,f,100,0,1,4.369447852,,,
Private room,3,1,moderate,1,f,96,1,2,4.369447852,,,
Private room,2,1,flexible,0,f,93,1,1,4.382026635,,,
Private room,2,1,flexible,0,f,90,1,1,3.912023005,,,
Private room,1,1,flexible,1,f,96,1,1,4.442651256,,,
Entire home/apt,2,1,moderate,1,f,99,1,1,4.787491743,,,
Entire home/apt,8,1,strict,1,t,94,3,5,5.187385806,,,
Entire home/apt,2,1,flexible,0,f,96,1,1,4.605170186,,,
Shared room,1,1,strict,0,f,90,1,1,3.912023005,,,
Entire home/apt,2,1,strict,1,f,98,1,2,4.59511985,,,
Shared room,1,1,moderate,1,f,87,1,1,4.248495242,,,
Entire home/apt,4,1,moderate,1,f,90,1,2,5.393627546,,,
Entire home/apt,2,1,flexible,0,t,96,0,1,6.551080335,,,
Entire home/apt,2,1,flexible,0,f,100,1,1,4.317488114,,,
Private room,1,1,flexible,0,t,96,1,1,4.007333185,,,
Private room,2,1,strict,0,f,100,1,1,5.796057751,,,
Entire home/apt,4,1,strict,0,f,96,0,1,4.382026635,,,
Private room,2,1,moderate,1,f,98,1,1,4.17438727,,,
Private room,2,1,strict,1,f,89,1,1,4.248495242,,,
Entire home/apt,5,1.5,moderate,1,t,100,1,3,5.686975356,,,
Entire home/apt,13,4,strict,1,f,100,6,6,6.618738984,,,
Entire home/apt,4,1,strict,1,f,100,2,2,4.17438727,,,
Entire home/apt,4,1,strict,1,t,90,1,2,5.247024072,,,
Entire home/apt,5,1.5,moderate,1,f,96,2,4,4.828313737,,,
Entire home/apt,3,1,moderate,1,f,100,2,2,4.605170186,,,
Private room,2,1,strict,1,t,98,1,1,4.077537444,,,
Private room,1,1,flexible,0,f,80,1,1,4.17438727,,,
Entire home/apt,3,1,flexible,1,f,95,1,2,4.787491743,,,
Entire home/apt,2,1,flexible,0,f,92,1,1,4.553876892,,,
Entire home/apt,8,2,strict,1,f,96,3,4,5.416100402,,,
Private room,2,1,strict,1,t,99,1,1,4.59511985,,,
Private room,2,1,moderate,1,f,94,1,1,4.007333185,,,
Private room,2,1,flexible,0,t,96,1,1,4.248495242,,,
Private room,2,1,moderate,1,f,100,1,1,5.010635294,,,
Private room,1,1,moderate,1,f,100,1,1,4.59511985,,,
Entire home/apt,2,1,flexible,0,f,100,0,1,4.787491743,,,
Entire home/apt,5,1,strict,0,f,94,1,1,5.075173815,,,
Entire home/apt,1,1,flexible,1,f,75,1,1,4.744932128,,,
Entire home/apt,2,1,strict,1,f,96,0,1,4.094344562,,,
Entire home/apt,4,1,strict,1,f,95,1,3,4.905274778,,,
Entire home/apt,6,1,moderate,0,t,96,2,7,5.192956851,,,
Entire home/apt,2,1,flexible,0,t,96,1,2,4.430816799,,,
Entire home/apt,7,1,strict,1,t,95,2,3,4.976733742,,,
Entire home/apt,2,1,strict,1,f,100,1,1,4.553876892,,,
Entire home/apt,3,1,moderate,1,f,93,1,1,5.298317367,,,
Entire home/apt,4,1,strict,1,f,91,1,2,5.075173815,,,
Entire home/apt,6,2,strict,1,f,95,3,4,5.953243334,,,
Entire home/apt,6,2,moderate,1,t,98,2,3,5.342334252,,,
Entire home/apt,3,1,strict,1,f,96,0,2,4.49980967,,,
Entire home/apt,3,1,strict,1,f,98,1,1,5.129898715,,,
Entire home/apt,6,1,moderate,1,f,80,2,3,5.560681631,,,
Private room,1,1,flexible,0,f,96,1,1,4.248495242,,,
Entire home/apt,10,3,moderate,1,f,97,3,4,5.433722004,,,
Private room,2,2,strict,1,f,96,1,1,4.234106505,,,
Entire home/apt,2,1,strict,1,f,97,0,1,5.616771098,,,
Private room,2,1,flexible,0,f,80,1,1,4.442651256,,,
Entire home/apt,11,2.5,flexible,1,f,96,4,5,5.164785974,,,
Entire home/apt,6,2,strict,1,f,100,2,3,5.075173815,,,
Private room,2,1,moderate,1,f,100,1,1,4.094344562,,,
Entire home/apt,4,1,strict,1,f,96,1,1,4.997212274,,,
Entire home/apt,2,0.5,strict,1,f,93,1,1,4.605170186,,,
Entire home/apt,3,1,strict,0,f,96,1,1,5.666426688,,,
Entire home/apt,7,2.5,flexible,1,t,96,2,3,5.521460918,,,
Entire home/apt,2,1,flexible,0,f,100,1,1,5.416100402,,,
Entire home/apt,2,1,strict,1,t,97,1,1,4.49980967,,,
Entire home/apt,3,1,flexible,0,t,97,2,1,4.532599493,,,
Entire home/apt,3,1,strict,1,f,94,1,2,5.164785974,,,
Entire home/apt,2,1,strict,1,t,90,0,1,4.382026635,,,
Entire home/apt,6,1,moderate,1,t,92,2,2,4.382026635,,,
Entire home/apt,3,1,moderate,1,f,96,0,2,4.65396035,,,
Entire home/apt,4,2.5,strict,1,f,100,2,2,5.703782475,,,
Entire home/apt,5,1,moderate,1,f,96,2,2,5.164785974,,,
Private room,3,1,moderate,1,f,97,1,2,5.480638923,,,
Private room,2,1,moderate,0,f,95,1,1,4.644390899,,,
Entire home/apt,3,1,flexible,0,f,100,0,1,4.605170186,,,
Private room,2,1,strict,1,t,100,1,1,4.094344562,,,
Entire home/apt,4,1,moderate,1,f,100,1,2,5.105945474,,,
Entire home/apt,2,1,strict,1,f,89,0,1,5.272999559,,,
Entire home/apt,5,2,strict,1,f,96,2,4,5.940171253,,,
Entire home/apt,4,1,strict,1,f,98,0,2,5.634789603,,,
Private room,1,1,flexible,0,f,96,1,1,6.907755279,,,
Entire home/apt,5,2,flexible,0,t,96,2,3,6.309918278,,,
Private room,2,1,strict,1,t,100,1,1,4.007333185,,,
Private room,2,1,flexible,1,t,96,1,1,4.094344562,,,
Entire home/apt,2,1,moderate,1,f,100,1,1,5.272999559,,,
Entire home/apt,4,1,strict,1,f,96,1,2,4.553876892,,,
Private room,3,1,flexible,0,f,95,0,1,4.700480366,,,
Private room,2,1,strict,1,f,94,1,1,4.317488114,,,
Entire home/apt,4,1,flexible,1,f,95,1,1,4.744932128,,,
Entire home/apt,8,2,flexible,1,f,96,3,3,5.991464547,,,
Entire home/apt,2,1,moderate,1,f,100,0,1,5.135798437,,,
Entire home/apt,4,1,strict,1,f,88,1,2,4.574710979,,,
Entire home/apt,2,1,strict,1,t,99,1,1,4.59511985,,,
Entire home/apt,4,1,flexible,1,t,96,1,1,4.753590191,,,
Entire home/apt,3,1,flexible,0,t,100,1,1,5.272999559,,,
Entire home/apt,2,1,moderate,1,f,87,1,1,4.521788577,,,
Private room,2,1,flexible,1,f,93,1,1,3.912023005,,,
Private room,2,1,strict,1,f,96,1,1,4.779123493,,,
Entire home/apt,2,1,strict,1,f,96,0,1,5.010635294,,,
Entire home/apt,4,2,flexible,0,f,100,2,2,5.247024072,,,
Entire home/apt,2,1.5,strict,1,f,73,1,2,4.770684624,,,
Private room,2,1.5,moderate,1,f,95,1,1,4.521788577,,,
Entire home/apt,4,2,flexible,1,f,96,2,2,5.703782475,,,
Entire home/apt,5,3.5,moderate,1,f,100,4,4,5.783825182,,,
Private room,2,1,strict,0,f,96,1,1,4.127134385,,,
Entire home/apt,2,1,flexible,1,f,93,1,1,4.317488114,,,
Entire home/apt,4,1,strict,1,f,100,2,3,4.605170186,,,
Entire home/apt,4,1,moderate,0,t,89,1,2,4.859812404,,,
Private room,2,1,flexible,0,f,96,1,1,4.17438727,,,
Entire home/apt,4,1,strict,1,f,97,2,2,5.521460918,,,
Private room,1,1,flexible,0,t,96,1,1,4.49980967,,,
Entire home/apt,4,1,strict,1,f,90,1,2,4.859812404,,,
Entire home/apt,2,1,strict,1,t,100,0,1,5.247024072,,,
Entire home/apt,4,1,flexible,0,f,96,1,2,5.298317367,,,
Private room,3,1,flexible,0,f,96,1,2,2.890371758,,,
Entire home/apt,3,1,flexible,0,t,96,2,1,4.605170186,,,
Entire home/apt,2,1,strict,1,f,96,1,1,5.220355825,,,
Entire home/apt,2,1,moderate,1,f,95,1,1,5.043425117,,,
Entire home/apt,4,1,flexible,0,t,96,1,2,4.787491743,,,
Shared room,1,2,flexible,0,f,96,1,1,3.555348061,,,
Entire home/apt,3,1,flexible,1,f,100,2,2,4.828313737,,,
Entire home/apt,4,1,strict,1,f,96,2,4,5.247024072,,,
Entire home/apt,2,1,strict,1,f,89,1,2,4.691347882,,,
Entire home/apt,4,1,moderate,1,f,96,0,2,5.416100402,,,
Entire home/apt,3,1,strict,0,f,91,1,1,4.905274778,,,
Entire home/apt,2,1,moderate,1,f,100,0,2,5.187385806,,,
Private room,2,1,flexible,0,f,96,1,2,4.787491743,,,
Private room,2,1,moderate,0,f,95,1,1,4.828313737,,,
Private room,4,1,moderate,0,f,87,1,2,3.912023005,,,
Entire home/apt,2,1,strict,1,f,92,0,1,4.584967479,,,
Entire home/apt,2,1,flexible,0,f,100,0,1,4.553876892,,,
Entire home/apt,6,1,moderate,0,f,96,2,3,7.170119543,,,
Entire home/apt,4,1,strict,1,f,90,1,2,4.700480366,,,
Entire home/apt,4,1,flexible,1,f,95,2,2,5.480638923,,,
Entire home/apt,6,1,flexible,1,t,92,2,3,5.135798437,,,
Entire home/apt,2,1,strict,1,f,94,1,1,4.852030264,,,
Entire home/apt,6,1.5,strict,1,f,93,2,3,4.317488114,,,
Private room,2,2,moderate,1,t,100,1,1,5.010635294,,,
Entire home/apt,2,1,strict,1,f,95,1,1,5.010635294,,,
Entire home/apt,4,1,strict,1,f,94,2,2,5.497168225,,,
Entire home/apt,6,2,strict,1,f,90,3,4,5.521460918,,,
Entire home/apt,4,1,strict,1,f,95,2,2,5.379897354,,,
Entire home/apt,3,1,moderate,0,t,99,2,2,5.521460918,,,
Private room,2,1.5,strict,1,f,100,1,1,4.382026635,,,
Entire home/apt,2,1,moderate,1,t,98,0,1,4.65396035,,,
Private room,1,2,flexible,0,f,90,1,1,3.912023005,,,
Private room,1,1,strict,1,f,96,1,1,4.248495242,,,
Entire home/apt,6,2,strict,1,t,90,2,2,5.135798437,,,
Entire home/apt,7,3,moderate,1,f,100,4,4,6.684611728,,,
Entire home/apt,6,2,flexible,0,f,96,2,3,5.327876169,,,
Entire home/apt,3,1,moderate,1,f,100,1,1,5.075173815,,,
Private room,1,1,flexible,1,t,80,1,1,4.343805422,,,
Entire home/apt,3,1,moderate,1,f,96,1,1,5.424950017,,,
Entire home/apt,2,1.5,moderate,1,t,96,0,1,3.80666249,,,
Entire home/apt,4,1,strict,1,f,97,1,1,4.86753445,,,
Entire home/apt,2,1.5,flexible,0,f,100,1,1,4.859812404,,,
Entire home/apt,2,1,flexible,1,t,96,1,1,5.010635294,,,
Private room,1,0,strict,1,f,93,1,1,3.688879454,,,
Entire home/apt,4,2,flexible,1,t,100,3,3,5.272999559,,,
Private room,4,1,moderate,1,f,96,1,2,4.976733742,,,
Entire home/apt,4,2,flexible,0,t,96,2,2,5.991464547,,,
Entire home/apt,3,1,flexible,1,f,96,1,2,5.010635294,,,
Private room,2,1,strict,1,f,83,1,1,3.912023005,,,
Entire home/apt,2,1,flexible,0,t,98,0,1,4.127134385,,,
Entire home/apt,2,1,strict,1,t,98,1,1,5.416100402,,,
Entire home/apt,8,2,strict,1,f,100,4,4,6.309918278,,,
Private room,2,1,moderate,1,f,98,1,1,3.912023005,,,
Private room,2,1,strict,1,t,96,1,1,4.65396035,,,
Entire home/apt,3,1,flexible,1,f,100,0,2,5.105945474,,,
Private room,4,2,flexible,0,f,94,2,2,4.86753445,,,
Entire home/apt,2,1,strict,1,f,99,0,2,5.164785974,,,
Entire home/apt,2,1,flexible,1,f,100,1,1,4.007333185,,,
Private room,2,1,flexible,0,f,94,1,1,3.891820298,,,
Private room,1,1,strict,0,t,60,1,1,3.17805383,,,
Entire home/apt,4,1,strict,1,f,97,2,2,5.855071922,,,
Entire home/apt,8,3.5,strict,1,f,100,4,6,7.13089883,,,
Entire home/apt,2,1,flexible,1,f,96,1,1,4.691347882,,,
Entire home/apt,2,1,flexible,1,t,87,0,1,4.465908119,,,
Entire home/apt,4,1,strict,1,t,99,1,2,4.59511985,,,
Entire home/apt,4,1,moderate,1,f,100,2,3,5.501258211,,,
Private room,2,1.5,flexible,0,t,98,1,1,4.234106505,,,
Entire home/apt,4,1,flexible,1,t,100,1,2,4.86753445,,,
Private room,2,2,flexible,1,f,96,1,1,4.060443011,,,
Entire home/apt,6,1,strict,1,t,88,2,5,5.700443573,,,
Entire home/apt,2,1,strict,1,t,77,0,1,4.59511985,,,
Entire home/apt,6,1,strict,1,f,93,2,3,5.164785974,,,
Shared room,1,2,strict,1,t,80,1,1,3.135494216,,,
Private room,2,1,flexible,1,t,96,1,1,4.060443011,,,
Private room,1,1,moderate,1,t,100,1,1,4.304065093,,,
Entire home/apt,5,2,strict,1,f,96,3,4,5.010635294,,,
Entire home/apt,4,1,strict,1,f,97,2,3,5.075173815,,,
Entire home/apt,3,1,flexible,0,f,90,0,2,4.941642423,,,
Entire home/apt,5,1,moderate,1,t,94,1,3,5.003946306,,,
Entire home/apt,4,1,flexible,1,f,90,2,2,4.605170186,,,
Private room,1,1,flexible,1,t,96,1,1,3.80666249,,,
Entire home/apt,2,1,strict,1,f,98,0,1,4.234106505,,,
Private room,2,1,moderate,1,f,98,1,1,4.317488114,,,
Entire home/apt,16,1,strict,1,t,97,1,13,5.010635294,,,
Entire home/apt,3,1,strict,1,f,100,1,2,4.510859507,,,
Entire home/apt,2,1,flexible,1,f,100,1,1,5.293304825,,,
Shared room,10,2.5,flexible,1,f,96,1,10,3.218875825,,,
Entire home/apt,3,1,flexible,0,f,96,0,2,4.442651256,,,
Entire home/apt,4,1,flexible,1,f,100,0,3,5.192956851,,,
Entire home/apt,2,1,flexible,1,f,88,0,1,5.010635294,,,
Private room,2,1,moderate,1,f,85,1,1,4.553876892,,,
Entire home/apt,2,1,flexible,0,f,96,0,1,5.666426688,,,
Entire home/apt,4,1,strict,1,t,98,1,2,4.941642423,,,
Entire home/apt,2,1,moderate,1,f,100,1,2,5.857933154,,,
Private room,2,1,flexible,0,t,96,1,1,4.787491743,,,
Private room,2,2,moderate,1,t,96,1,2,3.663561646,,,
Entire home/apt,4,1,strict,1,f,84,1,1,4.553876892,,,
Entire home/apt,7,1.5,strict,1,f,95,2,5,5.293304825,,,
Entire home/apt,3,1.5,strict,1,t,95,2,2,4.828313737,,,
Entire home/apt,3,2,strict,1,f,96,2,2,5.700443573,,,
Private room,1,1,flexible,0,f,100,1,1,4.584967479,,,
Entire home/apt,4,1.5,flexible,0,f,100,2,3,5.298317367,,,
Entire home/apt,6,1,strict,1,t,85,3,5,5.192956851,,,
Entire home/apt,4,1,flexible,1,f,86,1,2,5.521460918,,,
Private room,5,1,strict,1,t,98,2,3,3.555348061,,,
Entire home/apt,4,2,flexible,0,t,96,2,2,4.976733742,,,
Entire home/apt,4,1.5,strict,1,f,96,1,3,5.272999559,,,
Entire home/apt,5,1,flexible,1,f,100,2,2,5.476463552,,,
Private room,2,1,flexible,1,t,100,1,1,3.912023005,,,
Private room,2,1,flexible,1,f,95,1,1,3.663561646,,,
Entire home/apt,4,1.5,flexible,0,f,96,1,1,6.214608098,,,
Private room,1,1,flexible,1,f,96,1,1,4.17438727,,,
Private room,2,3,strict,1,t,86,1,1,3.663561646,,,
Entire home/apt,6,2,moderate,1,f,98,2,3,6.204557763,,,
Entire home/apt,6,1,moderate,1,t,98,1,3,4.976733742,,,
Private room,3,1.5,moderate,0,t,97,1,2,4.86753445,,,
Entire home/apt,5,1,flexible,0,t,96,2,3,5.991464547,,,
Entire home/apt,3,1,strict,1,t,86,1,2,4.934473933,,,
Private room,5,1,strict,1,f,89,1,2,4.605170186,,,
Entire home/apt,2,1,flexible,1,f,100,0,1,4.700480366,,,
Entire home/apt,4,1,flexible,0,f,100,1,2,4.787491743,,,
Private room,4,1,moderate,1,f,96,1,1,4.691347882,,,
Entire home/apt,2,1,moderate,1,t,95,0,1,4.49980967,,,
Entire home/apt,2,1,strict,1,f,96,1,1,5.272999559,,,
Entire home/apt,8,2,strict,1,f,96,3,5,5.521460918,,,
Private room,1,1,flexible,0,f,96,1,1,5.991464547,,,
Private room,1,1,strict,0,f,96,1,2,5.703782475,,,
Entire home/apt,2,1,flexible,1,f,96,0,1,5.298317367,,,
Private room,2,1,moderate,0,f,99,1,1,4.369447852,,,
Entire home/apt,6,1,strict,1,f,98,0,3,5.003946306,,,
Entire home/apt,6,1,moderate,1,f,95,2,2,4.672828834,,,
Entire home/apt,2,1,flexible,1,f,96,1,1,3.912023005,,,
Entire home/apt,2,1,strict,1,f,98,1,2,5.293304825,,,
Private room,2,1,strict,0,f,97,1,1,3.80666249,,,
Shared room,1,1,strict,1,f,100,1,1,3.80666249,,,
Entire home/apt,4,1,flexible,1,f,94,2,3,4.736198448,,,
Entire home/apt,5,2,moderate,1,f,96,2,2,5.293304825,,,
Entire home/apt,5,1,flexible,1,f,100,1,2,5.598421959,,,
Private room,2,1,moderate,1,f,97,1,1,5.075173815,,,
Entire home/apt,1,1,strict,1,f,100,0,1,5.164785974,,,
Private room,2,1,moderate,1,t,97,1,1,4.553876892,,,
Private room,4,1,moderate,0,f,96,1,2,4.382026635,,,
Private room,2,1,strict,0,f,96,1,1,4.317488114,,,
Private room,3,1,flexible,1,f,100,1,2,4.553876892,,,
Entire home/apt,2,1,moderate,1,f,96,1,1,4.59511985,,,
Private room,1,1,moderate,1,f,73,1,1,3.761200116,,,
Entire home/apt,4,1,flexible,0,f,96,1,1,5.164785974,,,
Entire home/apt,3,1,moderate,1,f,97,2,3,4.86753445,,,
Private room,1,1,flexible,0,f,96,1,1,3.295836866,,,
Entire home/apt,5,1,moderate,1,f,100,2,2,5.857933154,,,
Entire home/apt,2,1,strict,1,f,100,1,2,4.700480366,,,
Entire home/apt,6,2,strict,1,f,100,2,3,5.433722004,,,
Entire home/apt,3,1,strict,1,f,100,1,1,4.934473933,,,
Entire home/apt,2,1,strict,1,f,100,1,1,5.043425117,,,
Private room,3,0,flexible,0,f,96,1,1,4.49980967,,,
Private room,1,1,moderate,1,t,96,1,1,4.094344562,,,
Entire home/apt,2,1,strict,1,f,90,1,1,4.934473933,,,
Entire home/apt,8,1,strict,1,f,100,2,2,5.857933154,,,
Private room,2,1,strict,1,f,94,1,1,4.356708827,,,
Entire home/apt,2,1,strict,1,t,94,1,1,4.691347882,,,
Private room,2,2.5,strict,1,t,97,1,1,4.317488114,,,
Entire home/apt,2,1,strict,0,t,100,0,1,4.605170186,,,
Entire home/apt,6,1,strict,1,f,83,0,1,5.446737372,,,
Private room,2,1,moderate,1,t,93,1,1,4.077537444,,,
Private room,2,1,strict,1,f,97,1,1,4.382026635,,,
Entire home/apt,2,1,strict,1,f,100,1,1,4.59511985,,,
Entire home/apt,2,1,flexible,1,f,99,1,1,4.779123493,,,
Private room,2,1,flexible,1,t,100,1,1,4.094344562,,,
Entire home/apt,4,1,moderate,1,t,89,0,2,4.553876892,,,
Entire home/apt,2,1,moderate,1,f,93,0,1,4.787491743,,,
Entire home/apt,6,1.5,strict,1,f,90,2,2,5.010635294,,,
Private room,2,1.5,moderate,1,f,95,1,1,4.007333185,,,
Entire home/apt,4,1,strict,1,f,96,2,2,6.214608098,,,
